PROJ.4.PROJECTION: "+proj=lcc +lat_2=50.569898649999999 +lat_1=50.569898649999999 +lon_0=4.553615160000000 +units=m +no_defs +a=6371229.0 +es=0.0"

PIXEL_ID LAMBERT_X LAMBERT_Y LAT LON
438 62500 6318014.18 50.409 5.436
439 67500 6318014.18 50.409 5.506
440 72500 6318014.18 50.408 5.577
441 77500 6318014.18 50.407 5.647
442 82500 6318014.18 50.407 5.718
443 87500 6318014.18 50.406 5.788
444 92500 6318014.18 50.405 5.859
445 97500 6318014.18 50.404 5.929
446 102500 6318014.18 50.404 6
447 107500 6318014.18 50.403 6.07
448 112500 6318014.18 50.402 6.141
449 117500 6318014.18 50.401 6.211
450 122500 6318014.18 50.4 6.282
451 127500 6318014.18 50.399 6.353
452 -67500 6323014.18 50.454 3.6
453 -62500 6323014.18 50.454 3.671
454 -57500 6323014.18 50.455 3.741
455 -52500 6323014.18 50.455 3.812
456 -47500 6323014.18 50.456 3.883
457 -42500 6323014.18 50.456 3.953
458 -37500 6323014.18 50.456 4.024
459 -32500 6323014.18 50.457 4.095
460 -27500 6323014.18 50.457 4.165
461 -22500 6323014.18 50.457 4.236
462 -17500 6323014.18 50.457 4.306
463 -12500 6323014.18 50.457 4.377
464 -7500 6323014.18 50.457 4.448
465 -2500 6323014.18 50.457 4.518
466 2500 6323014.18 50.457 4.589
467 7500 6323014.18 50.457 4.66
468 12500 6323014.18 50.457 4.73
469 17500 6323014.18 50.457 4.801
470 22500 6323014.18 50.457 4.871
471 27500 6323014.18 50.457 4.942
472 32500 6323014.18 50.457 5.013
473 37500 6323014.18 50.456 5.083
474 42500 6323014.18 50.456 5.154
475 47500 6323014.18 50.456 5.225
476 52500 6323014.18 50.455 5.295
477 57500 6323014.18 50.455 5.366
478 62500 6323014.18 50.454 5.436
479 67500 6323014.18 50.454 5.507
480 72500 6323014.18 50.453 5.578
481 77500 6323014.18 50.452 5.648
482 82500 6323014.18 50.452 5.719
483 87500 6323014.18 50.451 5.789
484 92500 6323014.18 50.45 5.86
485 97500 6323014.18 50.449 5.931
486 102500 6323014.18 50.448 6.001
487 107500 6323014.18 50.448 6.072
488 112500 6323014.18 50.447 6.142
489 117500 6323014.18 50.446 6.213
490 122500 6323014.18 50.445 6.284
491 127500 6323014.18 50.444 6.354
492 -87500 6328014.18 50.496 3.317
493 -82500 6328014.18 50.497 3.387
494 -77500 6328014.18 50.497 3.458
495 -72500 6328014.18 50.498 3.529
496 -67500 6328014.18 50.499 3.599
497 -62500 6328014.18 50.499 3.67
498 -57500 6328014.18 50.5 3.741
499 -52500 6328014.18 50.5 3.811
500 -47500 6328014.18 50.501 3.882
501 -42500 6328014.18 50.501 3.953
502 -37500 6328014.18 50.501 4.023
503 -32500 6328014.18 50.502 4.094
504 -27500 6328014.18 50.502 4.165
505 -22500 6328014.18 50.502 4.235
506 -17500 6328014.18 50.502 4.306
507 -12500 6328014.18 50.502 4.377
508 -7500 6328014.18 50.502 4.448
509 -2500 6328014.18 50.502 4.518
510 2500 6328014.18 50.502 4.589
511 7500 6328014.18 50.502 4.66
512 12500 6328014.18 50.502 4.73
513 17500 6328014.18 50.502 4.801
514 22500 6328014.18 50.502 4.872
515 27500 6328014.18 50.502 4.942
516 32500 6328014.18 50.502 5.013
517 37500 6328014.18 50.501 5.084
518 42500 6328014.18 50.501 5.154
519 47500 6328014.18 50.501 5.225
520 52500 6328014.18 50.5 5.296
521 57500 6328014.18 50.5 5.367
522 62500 6328014.18 50.499 5.437
523 67500 6328014.18 50.499 5.508
524 72500 6328014.18 50.498 5.579
525 77500 6328014.18 50.497 5.649
526 82500 6328014.18 50.497 5.72
527 87500 6328014.18 50.496 5.791
528 92500 6328014.18 50.495 5.861
529 97500 6328014.18 50.494 5.932
530 102500 6328014.18 50.493 6.003
531 107500 6328014.18 50.493 6.073
532 112500 6328014.18 50.492 6.144
533 117500 6328014.18 50.491 6.215
534 122500 6328014.18 50.49 6.285
535 127500 6328014.18 50.489 6.356
536 -92500 6333014.18 50.54 3.245
537 -87500 6333014.18 50.541 3.315
538 -82500 6333014.18 50.542 3.386
539 -77500 6333014.18 50.542 3.457
540 -72500 6333014.18 50.543 3.528
